Manufacturer,Device,Antibody,Sample Type,N Positive,N Negative,Sensitivity (%),Sensitivity 95% CI,Specificity (%),Specificity 95% CI,PPV at 5%,NPV at 5%,PPV at 20%,NPV at 20%,PPV at 50%,NPV at 50%
EUROIMMUN Medizinische Labordiagnostika AG,Anti-SARS-CoV-2-NCP ELISA (IgM),IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Top Biotech Sdn. Bhd.,Top Rapid COVID-19 Rapid Antibody IgG/IgM Test Kit,IGG,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),100.0,100.0% (95.4-100.0%),100.0%,99.1%,100.0%,96.0%,100.0%,85.7%
Euroimmun,SARS-COV-2 ELISA (IgG),IGG,"Plasma, Serum",30,80,90.0,90.0% (74.4-96.5%),100.0,100.0% (95.4-100.0%),100.0%,99.5%,100.0%,97.6%,100.0%,90.9%
Advaite Inc.,ADVAITE RapCOV Rapid COVID-19 Test,IGG,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),98.8,98.8% (93.3-99.8%),78.5%,99.3%,94.5%,96.7%,98.6%,88.1%
Aurora Biomed Inc,COVID-19 IgG/IgM  Rapid Test,IGG,"Plasma, Serum",30,80,76.7,76.7% (59.1-88.2%),100.0,100.0% (95.4-100.0%),100.0%,98.8%,100.0%,94.5%,100.0%,81.1%
"Doctorspot Technologies Inc,",COVID-19 SARS-CoV-2 IgM/IgG Antibody Rapid Test Kit (Colloidal Gold),IGG,"Plasma, Serum",30,80,26.7,26.7% (14.2-44.4%),100.0,100.0% (95.4-100.0%),100.0%,96.3%,100.0%,84.5%,100.0%,57.7%
"Plexense, Inc.",ACCEL ELISA COVID-19,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Artron Laboratories, Inc.",OTO-Artron COVID-19 IgG/IgM Antibody Test,IGG,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),100.0,100.0% (95.4-100.0%),100.0%,99.1%,100.0%,96.0%,100.0%,85.7%
SurExam Bio-Tech Co. Ltd.,Surplex COVID-19 IgM/IgG Rapid Test,IGG,"Plasma, Serum",30,80,76.7,76.7% (59.1-88.2%),100.0,100.0% (95.4-100.0%),100.0%,98.8%,100.0%,94.5%,100.0%,81.1%
"InBios International, Inc.",InBios SCoV-2 Detect IgM/IgG Rapid Test,IGG,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),100.0,100.0% (95.4-100.0%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
"InBios International, Inc.",InBios SCoV-2 Detect™ IgG Rapid Test,IGG,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),100.0,100.0% (95.4-100.0%),100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Vincitek LLC,Vincitek S2-AB Test Card,IGG,"Plasma, Serum",30,80,83.3,83.3% (66.4-92.7%),100.0,100.0% (95.4-100.0%),100.0%,99.1%,100.0%,96.0%,100.0%,85.7%
Invenio Medical Inc.,COVID-19 IgG/IgM Ab Rapid Test,IGG,"Plasma, Serum",30,80,80.0,80.0% (62.7-90.5%),100.0,100.0% (95.4-100.0%),100.0%,99.0%,100.0%,95.2%,100.0%,83.3%
"Acon Biotech (Hangzhou) Co., LTD",Acon SARS-CoV2 IgG/IgM Rapid Test,IGG,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),97.5,97.5% (91.3-99.3%),67.8%,100.0%,90.9%,100.0%,97.6%,100.0%
Advaite Inc.,Advaite RapCov Rapid COVID-19 Test,IGG,"Plasma, Serum",30,80,93.3,93.3% (78.7-98.2%),98.8,98.8% (93.3-99.8%),79.7%,99.6%,94.9%,98.3%,98.7%,93.7%
MP Biomedicals Asia Pacific Pte. Ltd.,MP Diagnostics Assure SARS-CoV-2 IgG/IgM Rapid Test,IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),91.2,91.2% (83.0-95.7%),36.8%,99.8%,73.4%,99.1%,91.7%,96.5%
MedMira Inc.,REVEALCOVID-19 Total Antibody Test,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Biocan Diagnostics Inc,Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,IGG,"Plasma, Serum",30,80,86.7,86.7% (70.3-94.7%),100.0,100.0% (95.4-100.0%),100.0%,99.3%,100.0%,96.8%,100.0%,88.2%
"ZEUS Scientific, Inc.",ZEUS SARS-CoV-2 IgM/IgG Lateral Flow Immunoassay,IGG,"Plasma, Serum",30,80,100.0,100.0% (88.6-100.0%),96.2,96.2% (89.5-98.7%),58.4%,100.0%,87.0%,100.0%,96.4%,100.0%
"Nirmidas Biotech, Inc.",MidaSpot COVID-19 Antibody Combo Detection Kit (NBPC-0007),IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),97.5,97.5% (91.3-99.3%),67.1%,99.8%,90.6%,99.2%,97.5%,96.7%
QIAGEN GmbH,QIAreach Anti-SARS-CoV-2 Total Test,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
"Zeus Scientific, Inc.",Zeus ELISA SARS-CoV-2 Total Antibody Test System,IGG,"Plasma, Serum",30,80,N/A,0.0% (0.0-11.4%),N/A,0.0% (0.0-4.6%),N/A,N/A,N/A,N/A,N/A,N/A
Healgen,COVID-19 IgG/IgM Rapid Test Cassette,IGG,"Plasma, Serum",30,80,96.7,96.7% (83.3-99.4%),97.5,97.5% (91.3-99.3%),67.1%,99.8%,90.6%,99.2%,97.5%,96.7%
