manufacturer,device,n_sensitivity,sensitivity,n_specificity,specificity,cluster,ppv_0.1,npv_0.1,ppv_0.2,npv_0.2,ppv_0.3,npv_0.3,ppv_0.4,npv_0.4,ppv_0.5,npv_0.5,ppv_0.6,npv_0.6,ppv_0.7,npv_0.7,ppv_0.8,npv_0.8,ppv_0.9,npv_0.9
Abacus Pharma International,SARS-CoV-2 IgM/IgG AB Antibody Rapid Test (Immunochromatography),30,0.7666666666666667,80,0.9875,3,0.8720379146919436,0.9744175422567383,0.9387755102040819,0.9442231075697212,0.9633507853403143,0.9080459770114944,0.9761273209549073,0.8639125151883355,0.983957219251337,0.8088737201365189,0.989247311827957,0.738317757009346,0.9930609097918273,0.644605621033545,0.9959404600811909,0.5140997830802603,0.9981916817359856,0.3198380566801619
Abbexa,COVID-19 IgG/IgM Rapid Test Kit,30,0.9666666666666667,80,0.925,1,0.5888324873096449,0.996011964107677,0.7631578947368423,0.9910714285714285,0.8467153284671535,0.9847908745247148,0.8957528957528959,0.9765395894428153,0.9280000000000002,0.9652173913043478,0.9508196721311475,0.9487179487179487,0.9678188319427891,0.922437673130194,0.9809725158562368,0.8740157480314961,0.9914529914529915,0.7551020408163265
Abbott,Architect i1000 SARS-CoV-2 IgG,30,0.9,80,1.0,1,1.0,0.989010989010989,1.0,0.975609756097561,1.0,0.958904109589041,1.0,0.9375,1.0,0.9090909090909091,1.0,0.8695652173913043,1.0,0.810810810810811,1.0,0.7142857142857143,1.0,0.5263157894736843
Abbott Rapid Diagnostics Jena GmbH,COVID-19 IgG Rapid Test Device,30,0.8333333333333334,80,1.0,3,1.0,0.9818181818181818,1.0,0.96,1.0,0.9333333333333332,1.0,0.9,1.0,0.8571428571428572,1.0,0.8,1.0,0.7200000000000001,1.0,0.6,1.0,0.4
"Accel Diagnostics, LLC",Rapid C2T Total Antibodies (IgG/IgM) Card,30,0.7,80,0.6,2,0.16279069767441856,0.9473684210526315,0.30434782608695643,0.8888888888888888,0.42857142857142855,0.8235294117647058,0.5384615384615384,0.75,0.6363636363636362,0.6666666666666666,0.7241379310344827,0.5714285714285714,0.8032786885245901,0.46153846153846156,0.875,0.33333333333333326,0.9402985074626865,0.18181818181818174
Access Bio Inc.,CareStart COVID-19 IgM/IgG Rapid Diagnostic Test for the Detection of SARS-CoV-2 IgM/IgG Ab,30,1.0,80,0.975,1,0.8163265306122448,1.0,0.9090909090909091,1.0,0.9448818897637795,1.0,0.963855421686747,1.0,0.9756097560975611,1.0,0.9836065573770492,1.0,0.989399293286219,1.0,0.9937888198757764,1.0,0.997229916897507,1.0
"Access Bio, Inc.",CareStart EZ COVID-19 IgM/IgG,30,1.0,80,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Accudiagnostics,Covid-19 IgM/IgG Test Kit,30,1.0,80,0.825,4,0.38834951456310673,1.0,0.588235294117647,1.0,0.7100591715976331,1.0,0.7920792079207921,1.0,0.851063829787234,1.0,0.8955223880597014,1.0,0.9302325581395349,1.0,0.9580838323353293,1.0,0.9809264305177112,1.0
"Acon Biotech (Hangzhou) Co., LTD",Acon SARS-CoV2 IgG/IgM Rapid Test,30,1.0,80,0.9625,1,0.7476635514018694,1.0,0.8695652173913044,1.0,0.9195402298850575,1.0,0.9467455621301776,1.0,0.9638554216867469,1.0,0.975609756097561,1.0,0.984182776801406,1.0,0.9907120743034057,1.0,0.995850622406639,1.0
Advaite Inc.,ADVAITE RapCOV Rapid COVID-19 Test,30,0.8666666666666667,80,0.9875,3,0.8851063829787238,0.9852193995381062,0.9454545454545457,0.9673469387755103,0.9674418604651164,0.9452991452991453,0.9788235294117649,0.9174193548387096,0.9857819905213271,0.8810408921933086,0.9904761904761905,0.8315789473684211,0.9938566552901024,0.7604278074866311,0.9964071856287426,0.6493150684931507,0.9984000000000001,0.45142857142857146
Advaite Inc.,Advaite RapCov Rapid COVID-19 Test,30,0.9333333333333333,80,0.9875,1,0.8924302788844626,0.9925546765937645,0.9491525423728816,0.9834024896265561,0.9696969696969697,0.9718804920913884,0.9803063457330417,0.9569313593539704,0.986784140969163,0.9367588932806324,0.9911504424778761,0.9080459770114943,0.9942929613189601,0.8639125151883355,0.9966629588431591,0.787375415282392,0.9985141158989599,0.6220472440944882
Alfa Scientific Designs Inc.,Covid-19 IgG/IgM Antibody Test,30,1.0,80,0.9375,1,0.64,1.0,0.8,1.0,0.8727272727272727,1.0,0.9142857142857144,1.0,0.9411764705882353,1.0,0.96,1.0,0.9739130434782608,1.0,0.9846153846153847,1.0,0.993103448275862,1.0
Arbor Vita Corporation,CoVisa™ IgG Test,30,0.7666666666666667,80,1.0,3,1.0,0.9747292418772563,1.0,0.9448818897637795,1.0,0.9090909090909092,1.0,0.8653846153846153,1.0,0.8108108108108107,1.0,0.7407407407407407,1.0,0.6474820143884893,1.0,0.5172413793103448,1.0,0.3225806451612903
"Artron Laboratories, Inc.",OTO-Artron COVID-19 IgG/IgM Antibody Test,30,0.9333333333333333,80,1.0,1,1.0,0.9926470588235293,1.0,0.9836065573770492,1.0,0.9722222222222222,1.0,0.9574468085106383,1.0,0.9375,1.0,0.9090909090909092,1.0,0.8653846153846155,1.0,0.7894736842105262,1.0,0.625
"Assure Tech. (Hangzhou) Co., Ltd.",FaStep Rapid Diagnostic Test Coronavirus Disease 2019/ (COVID-2019) IgG/IgM Rapid Test,30,1.0,80,0.9875,1,0.8988764044943824,1.0,0.9523809523809526,1.0,0.9716599190283401,1.0,0.98159509202454,1.0,0.9876543209876544,1.0,0.9917355371900827,1.0,0.9946714031971581,1.0,0.9968847352024923,1.0,0.9986130374479889,1.0
Atlas-Link (Beijing),Nova COVID-19 IgG/IgM Antibody Rapid Test,30,0.9,80,0.9,4,0.5000000000000001,0.9878048780487805,0.6923076923076924,0.9729729729729729,0.7941176470588237,0.9545454545454545,0.8571428571428572,0.9310344827586207,0.9,0.9,0.9310344827586207,0.8571428571428572,0.9545454545454545,0.7941176470588236,0.9729729729729729,0.6923076923076923,0.9878048780487805,0.5
Aurora Biomed Inc,COVID-19 IgG/IgM  Rapid Test,30,0.7666666666666667,80,1.0,3,1.0,0.9747292418772563,1.0,0.9448818897637795,1.0,0.9090909090909092,1.0,0.8653846153846153,1.0,0.8108108108108107,1.0,0.7407407407407407,1.0,0.6474820143884893,1.0,0.5172413793103448,1.0,0.3225806451612903
"AutoBio Diagnostics Co., LTD",Anti-SARS-CoV-2 Rapid Test,30,0.9333333333333333,80,0.9875,1,0.8924302788844626,0.9925546765937645,0.9491525423728816,0.9834024896265561,0.9696969696969697,0.9718804920913884,0.9803063457330417,0.9569313593539704,0.986784140969163,0.9367588932806324,0.9911504424778761,0.9080459770114943,0.9942929613189601,0.8639125151883355,0.9966629588431591,0.787375415282392,0.9985141158989599,0.6220472440944882
BTNX Inc,COVID-19 IgG/IgM Test Cassettes (Whole Blood/Serum/Plasma),30,1.0,80,0.975,1,0.8163265306122448,1.0,0.9090909090909091,1.0,0.9448818897637795,1.0,0.963855421686747,1.0,0.9756097560975611,1.0,0.9836065573770492,1.0,0.989399293286219,1.0,0.9937888198757764,1.0,0.997229916897507,1.0
"BTNX, Inc.",COVID-19 IgG/IgM Test Cassettes (Whole Blood/Serum/Plasma),30,1.0,80,0.9875,1,0.8988764044943824,1.0,0.9523809523809526,1.0,0.9716599190283401,1.0,0.98159509202454,1.0,0.9876543209876544,1.0,0.9917355371900827,1.0,0.9946714031971581,1.0,0.9968847352024923,1.0,0.9986130374479889,1.0
Beijing Kewei Clinical Diagnostic Reagent Inc.,Genonto Rapid Test10 COVID-19 IgG/IgM Rapid Test Kit,30,0.9333333333333333,80,0.9125,4,0.5423728813559321,0.991947659788626,0.7272727272727272,0.9820627802690584,0.8205128205128205,0.969639468690702,0.8767123287671234,0.9535558780841801,0.9142857142857141,0.9319148936170213,0.9411764705882353,0.9012345679012346,0.9613733905579399,0.8543563068920678,0.9770992366412214,0.7738515901060071,0.9896907216494845,0.6033057851239669
"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",WANTAI SARS-CoV-2 Ab ELISA,30,0.9666666666666667,80,0.975,1,0.811188811188811,0.9962157048249763,0.9062499999999999,0.9915254237288135,0.9430894308943089,0.9855595667870036,0.9626556016597511,0.9777158774373259,0.9747899159663865,0.9669421487603306,0.983050847457627,0.9512195121951219,0.9890377588306942,0.9261213720316623,0.9935760171306209,0.8796992481203008,0.997134670487106,0.7647058823529411
"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",WANTAI SARS-CoV-2 Ab Rapid Test,30,1.0,80,0.9875,1,0.8988764044943824,1.0,0.9523809523809526,1.0,0.9716599190283401,1.0,0.98159509202454,1.0,0.9876543209876544,1.0,0.9917355371900827,1.0,0.9946714031971581,1.0,0.9968847352024923,1.0,0.9986130374479889,1.0
Bio-Rad,Platelia SARS-CoV-2 Total Ab,60,0.9,160,1.0,1,1.0,0.989010989010989,1.0,0.975609756097561,1.0,0.958904109589041,1.0,0.9375,1.0,0.9090909090909091,1.0,0.8695652173913043,1.0,0.810810810810811,1.0,0.7142857142857143,1.0,0.5263157894736843
"BioMedomics, Inc.",BioMedomics COVID-19 IgM-IgG Rapid Test,30,1.0,80,0.925,1,0.5970149253731344,1.0,0.7692307692307693,1.0,0.8510638297872342,1.0,0.8988764044943821,1.0,0.9302325581395349,1.0,0.9523809523809523,1.0,0.9688581314878894,1.0,0.9815950920245399,1.0,0.9917355371900827,1.0
Biocan Diagnostics Inc,Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,30,0.8333333333333334,80,0.975,3,0.7874015748031494,0.9813606710158435,0.8928571428571428,0.959016393442623,0.9345794392523364,0.9317406143344711,0.9569377990430622,0.8976982097186701,0.970873786407767,0.854014598540146,0.9803921568627451,0.7959183673469388,0.9873060648801127,0.714867617107943,0.9925558312655087,0.5939086294416244,0.9966777408637875,0.3939393939393939
Biocan Diagnostics Inc,Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,30,0.8666666666666667,80,0.95,3,0.6582278481012657,0.9846449136276392,0.8124999999999999,0.9661016949152543,0.8813559322033897,0.9432624113475176,0.9203539823008849,0.9144385026737968,0.9454545454545454,0.8769230769230769,0.9629629629629629,0.8260869565217392,0.9758713136729222,0.7533039647577093,0.985781990521327,0.6404494382022472,0.9936305732484076,0.441860465116279
