device,FP,TP,cluster
SARS-CoV-2 IgM/IgG AB Antibody Rapid Test (Immunochromatography),0.012499999999999956,0.7333333333333333,1
COVID-19 IgG/IgM Rapid Test Kit,0.03749999999999998,0.9666666666666667,0
Architect i1000 SARS-CoV-2 IgG,0.0,0.9,5
COVID-19 IgG Rapid Test Device,0.0,0.8333333333333334,5
CareStart COVID-19 IgM/IgG Rapid Diagnostic Test for the Detection of SARS-CoV-2 IgM/IgG Ab,0.012499999999999956,1.0,0
CareStart EZ COVID-19 IgM/IgG,0.0,0.9666666666666667,0
Covid-19 IgM/IgG Test Kit,0.07499999999999996,1.0,0
Acon SARS-CoV2 IgG/IgM Rapid Test,0.025000000000000022,1.0,0
ADVAITE RapCOV Rapid COVID-19 Test,0.012499999999999956,0.8666666666666667,5
Advaite RapCov Rapid COVID-19 Test,0.012499999999999956,0.9333333333333333,0
Covid-19 IgG/IgM Antibody Test,0.0,0.8,1
CoVisa™ IgG Test,0.0,0.7666666666666667,1
OTO-Artron COVID-19 IgG/IgM Antibody Test,0.0,0.8333333333333334,5
FaStep Rapid Diagnostic Test Coronavirus Disease 2019/ (COVID-2019) IgG/IgM Rapid Test,0.0,0.9,5
Nova COVID-19 IgG/IgM Antibody Rapid Test,0.09999999999999998,0.9,3
COVID-19 IgG/IgM  Rapid Test,0.0,0.7666666666666667,1
Anti-SARS-CoV-2 Rapid Test,0.012499999999999956,0.9333333333333333,0
COVID-19 IgG/IgM Test Cassettes (Whole Blood/Serum/Plasma),0.0,1.0,0
COVID-19 IgG/IgM Test Cassettes (Whole Blood/Serum/Plasma),0.0,0.8666666666666667,5
Genonto Rapid Test10 COVID-19 IgG/IgM Rapid Test Kit,0.03749999999999998,0.9333333333333333,0
BioMedomics COVID-19 IgM-IgG Rapid Test,0.03749999999999998,0.9666666666666667,0
Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,0.012499999999999956,0.8333333333333334,5
Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,0.0,0.8666666666666667,5
biocan Tell Me Fast Novel Coronavirus (COVID-19) IgG/IgM Antibody Test,0.03797468354430378,0.9333333333333333,0
SARS-CoV-2 IgM/IgG Antibody Test Kit,0.050000000000000044,0.9666666666666667,0
2019-nCoV IgG/IgM Detection Kit (Colloidal Gold),0.03797468354430378,0.9666666666666667,0
COVID-19 IgM-IgG Rapid Test kit,0.0,0.7333333333333333,1
iChroma COVID-19 Ab,0.03749999999999998,0.9666666666666667,0
OnSite COVID-19 IgG/IgM Rapid Test,0.0,0.7333333333333333,1
Cellex qSARs-CoV-2 IgG/IgM Rapid Test,0.0,0.7666666666666667,1
COVID-19 IgG/IgM Rapid Test Cassette (WB/S/P),0.03749999999999998,0.9666666666666667,0
DPP COVID-19 IgM/IgG System,0.08750000000000002,0.7857142857142857,1
Rapid COVID-19 IgM/IgG Antibody Screen Test,0.012499999999999956,0.6333333333333333,4
COVID-19 SARS-CoV-2 IgM/IgG Antibody Rapid Test Kit (Colloidal Gold),0.0,0.26666666666666666,2
SARS-COV-2 ELISA (IgG),0.0,0.9,5
EUROIMMUN Anti-SARS-CoV-2 S1 Curve ELISA (IgG),0.0,0.9,5
One Step Test for Novel Coronavirus (2019-nCoV) IgM/IgG antibody (Colloidal Gold),0.0,0.7333333333333333,1
GenBody COVID-19 IgM/IgG,0.0,0.5666666666666667,4
Virusee® COVID-19 IgM/IgG Lateral Flow Assay,0.012499999999999956,0.6333333333333333,4
SARS-COV-2 IgM/IgG Combo Rapid Test Kit,0.050000000000000044,0.7,1
Novel Coronavirus COVID-19 IgM/IgG Test Kit (colloidal gold),0.025000000000000022,0.9333333333333333,0
2019-nCoV IgG/IgM Rapid Test Cassette(Whole Blood/Serum/Plasma),0.025000000000000022,0.9666666666666667,0
Covid-19 IgG/IgM Rapid Test Cassette,0.0,0.9333333333333333,0
Novel Coronavirus (2019-nCoV) IgM/IgG Antibody Combo Test Kit (Colloidal Gold),0.012499999999999956,1.0,0
COVID-19 IgG/IgM Rapid Device Test,0.025316455696202556,0.8666666666666667,5
COVID-19 IgG/IgM Rapid Test Cassette,0.025000000000000022,0.9666666666666667,0
Humasis COVID-19 IgG/IgM Test,0.0,0.8666666666666667,5
SCoV-2 Detect™ IgG ELISA,0.0,1.0,0
InBios SCoV-2 Detect IgM/IgG Rapid Test,0.0,1.0,0
InBios SCoV-2 Detect™ IgG Rapid Test,0.0,1.0,0
One Step Rapid Test 2019-nCoV Ab Test (Colloidal Gold) IgM/IgG Whole Blood/Serum/Plasma Combo,0.012499999999999956,0.9333333333333333,0
COVID-19 IgG/IgM Ab Rapid Test,0.0,0.8,1
COVID-19 IgM/IgG One Step Rapid Test,0.17500000000000004,1.0,3
SARS-CoV-2 (COVID-19) IgM/IgG Antibody Fast Detection Kit (Colloidal Gold),0.15000000000000002,1.0,3
COVID-19 IgM/IgG Rapid Test (Colloidal gold),0.012499999999999956,1.0,0
COVID-19 IgM/IgG Rapid Test,0.0,1.0,0
Strong Step SARS-CoV-2 IgM/IgG Antibody Rapid Test,0.0,0.7666666666666667,1
Quick Profile 2019-nCoV IgG/IgM Test Card,0.03749999999999998,0.9666666666666667,0
"MEDsan biological health solutions, MEDsan COVID-19 IgM/IgG Rapid Test",0.0625,0.9,5
SARS-CoV-2 IgM & IgG Quantum Dot Immunoassay,0.26249999999999996,0.9333333333333333,3
MP Diagnostics Assure SARS-CoV-2 IgG/IgM Rapid Test,0.08750000000000002,0.9666666666666667,3
Megna Rapid COVID-19 IgM/IgG Combo Test Kit,0.025000000000000022,1.0,0
Vazyme 2019-nCoV IgG/IgM Detection Kit (Colloidal Gold-Based),0.09999999999999998,0.9666666666666667,3
COVID-19 IgG/IgM Rapid Test Kit,0.07499999999999996,0.7333333333333333,1
COVID-19 (SARS-CoV-2) IgM/IgG Antibody Detection Kit,0.0,0.8666666666666667,5
MidaSpot COVID-19 Antibody Combo Detection Kit (NBPC-0007),0.025000000000000022,0.9666666666666667,0
VITROS Immunodiagnostic Products Anti-SARS-CoV-2 IgG Reagent Pack,0.0,1.0,0
PCL COVID19 IgG/IgM Rapid Gold,0.012499999999999956,0.8,1
COVID19 RAPID TEST,0.03749999999999998,0.8666666666666667,5
Polystat SARS-CoV-2 Antibody Test,0.025000000000000022,0.6,4
Assurance AB COVID-19 IgM/IgG Rapid Antibody Test,0.0,0.9,5
Novel Coronavirus (SARS-CoV-2) IgM and IgG Dual Combined Antibody Detection Kit (Colloidal Gold Method),0.0,0.4666666666666667,2
STANDARD Q COVID-19 IgM/IgG Duo,0.012499999999999956,0.7333333333333333,1
Sienna COVID-19 IgG/IgM Rapid Test Cassette (whole blood/serum/plasma),0.012499999999999956,0.9333333333333333,0
Fosun COVID-19 IgG/IgM Rapid Antibody Detection Kit,0.012499999999999956,0.36666666666666664,2
COVID-19 IgM & IgG Test,0.0,0.5666666666666667,4
SGTi-flex COVID-19 IgG,0.0,0.9666666666666667,0
Sugentech SGTi-flex COVID-19 IgM/IgG,0.0,0.9333333333333333,0
Surplex COVID-19 IgM/IgG Rapid Test,0.0,0.7666666666666667,1
SARS-CoV-2 IgG/IgM Rapid Test Kit,0.03749999999999998,0.9333333333333333,0
SARS-COV-2-IgG/IgM Test Cassette,0.0625,0.4,2
Scanwell SARS-CoV-2 IgM & IgG Rapid Test,0.012499999999999956,0.8333333333333334,5
Scanwell SARS-CoV-2 IgM & IgG Test,0.0,0.8666666666666667,5
COVID-19 IgM/IgG Antibodies Rapid Test,0.0,0.9666666666666667,0
SARS-COV-2 IgG/IgM Antibody Detection Kit,0.0,0.3,2
Quik Pac II COVID-19 IgG & IgM Test,0.0,0.7333333333333333,1
Top Rapid COVID-19 Rapid Antibody IgG/IgM Test Kit,0.0,0.8333333333333334,5
SARS-COV-2 ELISA,0.0,0.8833333333333333,5
Vincitek S2-AB Test Card,0.0,0.8333333333333334,5
Covisure Covid-19 IgM/IgG Rapid Test,0.050000000000000044,0.7,1
COVID-19 (SARS-CoV-2) IgM/IgG Antibody Test Kit,0.012499999999999956,0.9666666666666667,0
COVID-19 IgM/IgG Test Kit (colloidal gold),0.012499999999999956,0.8666666666666667,5
Biotime SARS-CoV-2 IgG/IgM Rapid Qualitative Test,0.025000000000000022,0.9666666666666667,0
ZEUS SARS-CoV-2 IgM/IgG Lateral Flow Immunoassay,0.03749999999999998,1.0,0
SARS-CoV-2 IgG Test System,0.025000000000000022,0.9333333333333333,0
SARS-CoV-2 IgM-IgG (GICA),0.15000000000000002,0.9666666666666667,3
IgM/IgG Diagnostic Kit for IgM/IgG Antibody to Coronavirus (SARS-COV-2),0.0,0.6333333333333333,4
Livzon IgM/IgG Diagnostic Kit for IgM/IgG Antibody to Coronovirus (SARS-Cov-2) Lateral Flow,0.0,0.6666666666666666,4
